Name,Type,Locations
First Level,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Second Level,subcity,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Third Floor,District,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
exoticlatte,Store,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Church of Godiva,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Powder district,District,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Master Roshis,Store,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Bazaar Stores,District,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Zagnuts,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Fondue Lake,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Bank of Valor,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Trader’s Guild,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
The Red Velvet Lounge,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Tomb of Godiva,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Gingertown,Town,Gingertown (Gingertown%20ce81685dcb42499fb6b02e70bbfb7754.md)
Gym of Stevia,Point of Interest,Stevia (Stevia%205c5401d1fc8245b086d1806f82e00040.md)
Truffle Tavern,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Cocoa Mine,Store,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
The Cocoa Crescendo,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Caramel Cask,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Xocolatnar Elevator,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
The Great Gingerbread Tree,Point of Interest,Gingertown (Gingertown%20ce81685dcb42499fb6b02e70bbfb7754.md)
Bu-nay Hutch,,Bu-Nay Hutch (Bu-Nay%20Hutch%207b538ad0b97e4de4ab44614537e67f0b.md)
Candy Castle,Point of Interest,Candy Kingdom (Candy%20Kingdom%202fb3550d387f4359af4db321ddf5f81d.md)
Candy City,,Candy Kingdom (Candy%20Kingdom%202fb3550d387f4359af4db321ddf5f81d.md)
Candy City Library,Point of Interest,Candy Kingdom (Candy%20Kingdom%202fb3550d387f4359af4db321ddf5f81d.md)
Grammy's Village,City,Grammy’s Fishing Village (Grammy%E2%80%99s%20Fishing%20Village%20268d727beada416b90589961263d4390.md)
Los Fungus,City,Los Fungus (Los%20Fungus%205d979336a6024c70b9bebfb78ce3edbe.md)
Smuggling hideout,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Anry's base,Point of Interest,Underdark (Underdark%2063bcd3946e2c441785c849caf8d913a3.md)
Cherubic Chocolate,Store,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Creme District,,
Marzanipanor Mines,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Underdark,,Underdark (Underdark%2063bcd3946e2c441785c849caf8d913a3.md)
Sweet Gemstones,Store,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Hershey Castle,Point of Interest,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
RownTree,District,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Temper District,District,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Bitter District,,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Creme District,,Xocolatnyar (Xocolatnyar%20c72aca84eb654d00ab081138c25111d6.md)
Temple of Godiva,,